instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
"Frinhani, Carvalho & Soma\Random-1000-1000-34-3",0.000,(1000;339756),0.680,1.516,(1000;339756),0.680,0.277,(1000;339756),0.680,0.249,(1000;339756),0.680
"Frinhani, Carvalho & Soma\Random-1000-1000-34-4",0.000,(1000;343168),0.687,1.469,(1000;343168),0.687,0.255,(1000;343168),0.687,0.225,(1000;343168),0.687
"Frinhani, Carvalho & Soma\Random-1000-1000-34-5",0.000,(1000;344820),0.690,1.659,(1000;344820),0.690,0.323,(1000;344820),0.690,0.277,(1000;344820),0.690
"Frinhani, Carvalho & Soma\Random-1000-1000-34-6",0.000,(1000;342516),0.686,1.688,(1000;342516),0.686,0.306,(1000;342516),0.686,0.262,(1000;342516),0.686
"Frinhani, Carvalho & Soma\Random-1000-1000-34-7",0.000,(1000;342517),0.686,1.690,(1000;342517),0.686,0.305,(1000;342517),0.686,0.249,(1000;342517),0.686
"Frinhani, Carvalho & Soma\Random-1000-1000-34-8",0.000,(1000;342388),0.685,1.689,(1000;342388),0.685,0.301,(1000;342388),0.685,0.258,(1000;342388),0.685
"Frinhani, Carvalho & Soma\Random-1000-1000-34-9",0.000,(1000;340498),0.682,1.578,(1000;340498),0.682,0.281,(1000;340498),0.682,0.247,(1000;340498),0.682
"Frinhani, Carvalho & Soma\Random-1000-1000-38-1",0.000,(1000;380263),0.761,1.741,(1000;380263),0.761,0.282,(1000;380263),0.761,0.242,(1000;380263),0.761
"Frinhani, Carvalho & Soma\Random-1000-1000-38-10",0.000,(1000;383262),0.767,1.681,(1000;383262),0.767,0.269,(1000;383262),0.767,0.272,(1000;383262),0.767
"Frinhani, Carvalho & Soma\Random-1000-1000-38-2",0.000,(1000;381179),0.763,1.633,(1000;381179),0.763,0.292,(1000;381179),0.763,0.262,(1000;381179),0.763
"Frinhani, Carvalho & Soma\Random-1000-1000-38-3",0.000,(1000;379149),0.759,1.566,(1000;379149),0.759,0.308,(1000;379149),0.759,0.239,(1000;379149),0.759
"Frinhani, Carvalho & Soma\Random-1000-1000-38-4",0.000,(1000;383409),0.768,1.689,(1000;383409),0.768,0.271,(1000;383409),0.768,0.257,(1000;383409),0.768
"Frinhani, Carvalho & Soma\Random-1000-1000-38-5",0.000,(1000;382550),0.766,1.856,(1000;382550),0.766,0.249,(1000;382550),0.766,0.237,(1000;382550),0.766
